canonical_name,price_bucket,sample_count,avg_mat_unit_price,avg_labor_unit_price,avg_exp_unit_price,mat_ratio,labor_ratio,exp_ratio,source_files
노출우레탄,29000-29999,1,4500.0,4000.0,200.0,51.7,46.0,2.3,"200평 이상 복합_29,000원(0.5mm당 1500원).xlsx"
노출우레탄,30000-30999,1,4500.0,4000.0,300.0,51.1,45.5,3.4,"200평 이상 복합_30,000원(0.5mm당 1500원).xlsx"
노출우레탄,31000-31999,1,4500.0,4000.0,300.0,51.1,45.5,3.4,"200평 이상 복합_31,000원(0.5mm당 1500원).xlsx"
노출우레탄,32000-32999,2,4650.0,4000.0,300.0,52.0,44.7,3.4,"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx,200평 이상 복합_32,000원(0.5mm당 1500원).xlsx"
노출우레탄,33000-33999,1,6000.0,4000.0,300.0,58.3,38.8,2.9,"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx"
노출우레탄,34000-34999,1,6000.0,4000.0,400.0,57.7,38.5,3.8,"100평~200평 미만 복합_34,000원(0.5mm당 2000원).xlsx"
노출우레탄,35000-35999,1,6000.0,4500.0,400.0,55.0,41.3,3.7,"100평~200평 미만 복합_35,000원(0.5mm당 2000원).xlsx"
노출우레탄,36000-36999,1,7500.0,4000.0,400.0,63.0,33.6,3.4,"50평~100평 미만 복합_36,000원.xlsx"
노출우레탄,37000-37999,1,7500.0,4500.0,400.0,60.5,36.3,3.2,"50평~100평 미만 복합_37,000원.xlsx"
노출우레탄,38000-38999,2,7500.0,4500.0,500.0,60.0,36.0,4.0,"50평 미만 복합_38,000원.xlsx,50평~100평 미만 복합_38,000원.xlsx"
노출우레탄,39000-39999,2,7500.0,4500.0,500.0,60.0,36.0,4.0,"50평 미만 복합_39,000원.xlsx,50평~100평 미만 복합_39,000원.xlsx"
노출우레탄,40000-40999,2,7500.0,4500.0,500.0,60.0,36.0,4.0,"50평 미만 복합_40,000원.xlsx,50평~100평 미만 복합_40,000원.xlsx"
노출우레탄,41000-41999,2,7500.0,4500.0,500.0,60.0,36.0,4.0,"50평 미만 복합_41,000원.xlsx,50평~100평 미만 복합_41,000원.xlsx"
노출우레탄,42000-42999,2,7500.0,4500.0,500.0,60.0,36.0,4.0,"50평 미만 복합_42,000원.xlsx,50평~100평 미만 복합_42,000원.xlsx"
노출우레탄,43000-43999,1,7500.0,4500.0,500.0,60.0,36.0,4.0,"50평 미만 복합_43,000원.xlsx"
노출우레탄,44000-44999,1,7500.0,4500.0,500.0,60.0,36.0,4.0,"50평 미만 복합_44,000원.xlsx"
노출우레탄,48000-48999,1,8000.0,5500.0,800.0,55.9,38.5,5.6,"20평 이하 소형평수_48,000원.xlsx"
노출우레탄,50000-50999,1,8500.0,6000.0,1000.0,54.8,38.7,6.5,"20평 이하 소형평수_50,000원.xlsx"
노출우레탄1차,23000-23999,1,3000.0,2900.0,300.0,48.4,46.8,4.8,"200평 이상 미만 우레탄_23,000원(0.5mm당 1500원).xlsx"
노출우레탄1차,24000-24999,1,3000.0,2900.0,300.0,48.4,46.8,4.8,"200평 이상 미만 우레탄_24,000원(0.5mm당 1500원).xlsx"
노출우레탄1차,25000-25999,2,3100.0,3400.0,300.0,45.6,50.0,4.4,"100평~200평 미만 우레탄_25,000원(0.5mm당 1600원).xlsx,200평 이상 미만 우레탄_25,000원(0.5mm당 1500원).xlsx"
노출우레탄1차,26000-26999,2,3500.0,3200.0,350.0,49.6,45.4,5.0,"100평~200평 미만 우레탄_26,000원(0.5mm당 2000원).xlsx,200평 이상 미만 우레탄_26,000원(0.5mm당 1500원).xlsx"
노출우레탄1차,27000-27999,1,4000.0,3200.0,300.0,53.3,42.7,4.0,"100평~200평 미만 우레탄_27,000원(0.5mm당 2000원).xlsx"
노출우레탄1차,28000-28999,1,4000.0,3200.0,300.0,53.3,42.7,4.0,"100평~200평 미만 우레탄_28,000원(0.5mm당 2000원).xlsx"
노출우레탄1차,31000-31999,1,5000.0,3000.0,300.0,60.2,36.1,3.6,"50평~100평 미만 우레탄_31,000원.xlsx"
노출우레탄1차,32000-32999,1,5000.0,3300.0,300.0,58.1,38.4,3.5,"50평~100평 미만 우레탄_32,000원.xlsx"
노출우레탄1차,33000-33999,1,5000.0,3300.0,300.0,58.1,38.4,3.5,"50평~100평 미만 우레탄_33,000원.xlsx"
노출우레탄1차,34000-34999,1,5000.0,3500.0,300.0,56.8,39.8,3.4,"50평~100평 미만 우레탄_34,000원.xlsx"
노출우레탄1차,35000-35999,2,5000.0,3500.0,300.0,56.8,39.8,3.4,"50평 미만 우레탄_35,000원.xlsx,50평~100평 미만 우레탄_35,000원.xlsx"
노출우레탄1차,36000-36999,2,5000.0,3500.0,300.0,56.8,39.8,3.4,"50평 미만 우레탄_36,000원.xlsx,50평~100평 미만 우레탄_36,000원.xlsx"
노출우레탄1차,37000-37999,2,5000.0,3500.0,300.0,56.8,39.8,3.4,"50평 미만 우레탄_37,000원.xlsx,50평~100평 미만 우레탄_37,000원.xlsx"
노출우레탄2차,23000-23999,1,6000.0,3900.0,400.0,58.3,37.9,3.9,"200평 이상 미만 우레탄_23,000원(0.5mm당 1500원).xlsx"
노출우레탄2차,24000-24999,1,6000.0,4000.0,500.0,57.1,38.1,4.8,"200평 이상 미만 우레탄_24,000원(0.5mm당 1500원).xlsx"
노출우레탄2차,25000-25999,2,6200.0,4350.0,450.0,56.4,39.5,4.1,"100평~200평 미만 우레탄_25,000원(0.5mm당 1600원).xlsx,200평 이상 미만 우레탄_25,000원(0.5mm당 1500원).xlsx"
노출우레탄2차,26000-26999,2,7000.0,4150.0,450.0,60.3,35.8,3.9,"100평~200평 미만 우레탄_26,000원(0.5mm당 2000원).xlsx,200평 이상 미만 우레탄_26,000원(0.5mm당 1500원).xlsx"
노출우레탄2차,27000-27999,1,8000.0,4500.0,400.0,62.0,34.9,3.1,"100평~200평 미만 우레탄_27,000원(0.5mm당 2000원).xlsx"
노출우레탄2차,28000-28999,1,8000.0,5000.0,400.0,59.7,37.3,3.0,"100평~200평 미만 우레탄_28,000원(0.5mm당 2000원).xlsx"
노출우레탄2차,31000-31999,1,10000.0,4700.0,400.0,66.2,31.1,2.6,"50평~100평 미만 우레탄_31,000원.xlsx"
노출우레탄2차,32000-32999,1,10000.0,5400.0,400.0,63.3,34.2,2.5,"50평~100평 미만 우레탄_32,000원.xlsx"
노출우레탄2차,33000-33999,1,10000.0,5400.0,500.0,62.9,34.0,3.1,"50평~100평 미만 우레탄_33,000원.xlsx"
노출우레탄2차,34000-34999,1,10000.0,5500.0,500.0,62.5,34.4,3.1,"50평~100평 미만 우레탄_34,000원.xlsx"
노출우레탄2차,35000-35999,2,10000.0,5500.0,500.0,62.5,34.4,3.1,"50평 미만 우레탄_35,000원.xlsx,50평~100평 미만 우레탄_35,000원.xlsx"
노출우레탄2차,36000-36999,2,10000.0,5500.0,500.0,62.5,34.4,3.1,"50평 미만 우레탄_36,000원.xlsx,50평~100평 미만 우레탄_36,000원.xlsx"
노출우레탄2차,37000-37999,2,10000.0,5500.0,500.0,62.5,34.4,3.1,"50평 미만 우레탄_37,000원.xlsx,50평~100평 미만 우레탄_37,000원.xlsx"
드라이비트절개,23000-23999,1,0.0,0.0,0.0,0,0,0,"200평 이상 미만 우레탄_23,000원(0.5mm당 1500원).xlsx"
드라이비트절개,24000-24999,1,0.0,0.0,0.0,0,0,0,"200평 이상 미만 우레탄_24,000원(0.5mm당 1500원).xlsx"
드라이비트절개,25000-25999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_25,000원(0.5mm당 1600원).xlsx,200평 이상 미만 우레탄_25,000원(0.5mm당 1500원).xlsx"
드라이비트절개,26000-26999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_26,000원(0.5mm당 2000원).xlsx,200평 이상 미만 우레탄_26,000원(0.5mm당 1500원).xlsx"
드라이비트절개,27000-27999,1,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_27,000원(0.5mm당 2000원).xlsx"
드라이비트절개,28000-28999,1,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_28,000원(0.5mm당 2000원).xlsx"
드라이비트절개,29000-29999,1,0.0,0.0,0.0,0,0,0,"200평 이상 복합_29,000원(0.5mm당 1500원).xlsx"
드라이비트절개,30000-30999,1,0.0,0.0,0.0,0,0,0,"200평 이상 복합_30,000원(0.5mm당 1500원).xlsx"
드라이비트절개,31000-31999,2,0.0,0.0,0.0,0,0,0,"200평 이상 복합_31,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_31,000원.xlsx"
드라이비트절개,32000-32999,3,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx,200평 이상 복합_32,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_32,000원.xlsx"
드라이비트절개,33000-33999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_33,000원.xlsx"
드라이비트절개,34000-34999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_34,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_34,000원.xlsx"
드라이비트절개,35000-35999,3,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_35,000원(0.5mm당 2000원).xlsx,50평 미만 우레탄_35,000원.xlsx,50평~100평 미만 우레탄_35,000원.xlsx"
드라이비트절개,36000-36999,3,0.0,0.0,0.0,0,0,0,"50평 미만 우레탄_36,000원.xlsx,50평~100평 미만 복합_36,000원.xlsx,50평~100평 미만 우레탄_36,000원.xlsx"
드라이비트절개,37000-37999,3,0.0,0.0,0.0,0,0,0,"50평 미만 우레탄_37,000원.xlsx,50평~100평 미만 복합_37,000원.xlsx,50평~100평 미만 우레탄_37,000원.xlsx"
드라이비트절개,38000-38999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_38,000원.xlsx,50평~100평 미만 복합_38,000원.xlsx"
드라이비트절개,39000-39999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_39,000원.xlsx,50평~100평 미만 복합_39,000원.xlsx"
드라이비트절개,40000-40999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_40,000원.xlsx,50평~100평 미만 복합_40,000원.xlsx"
드라이비트절개,41000-41999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_41,000원.xlsx,50평~100평 미만 복합_41,000원.xlsx"
드라이비트절개,42000-42999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_42,000원.xlsx,50평~100평 미만 복합_42,000원.xlsx"
드라이비트절개,43000-43999,1,0.0,0.0,0.0,0,0,0,"50평 미만 복합_43,000원.xlsx"
드라이비트절개,44000-44999,1,0.0,0.0,0.0,0,0,0,"50평 미만 복합_44,000원.xlsx"
드라이비트절개,48000-48999,1,0.0,0.0,0.0,0,0,0,"20평 이하 소형평수_48,000원.xlsx"
드라이비트절개,50000-50999,1,0.0,0.0,0.0,0,0,0,"20평 이하 소형평수_50,000원.xlsx"
바탕정리,23000-23999,1,300.0,700.0,0.0,30.0,70.0,0.0,"200평 이상 미만 우레탄_23,000원(0.5mm당 1500원).xlsx"
바탕정리,24000-24999,1,600.0,900.0,0.0,40.0,60.0,0.0,"200평 이상 미만 우레탄_24,000원(0.5mm당 1500원).xlsx"
바탕정리,25000-25999,2,600.0,900.0,0.0,40.0,60.0,0.0,"100평~200평 미만 우레탄_25,000원(0.5mm당 1600원).xlsx,200평 이상 미만 우레탄_25,000원(0.5mm당 1500원).xlsx"
바탕정리,26000-26999,2,500.0,950.0,0.0,34.5,65.5,0.0,"100평~200평 미만 우레탄_26,000원(0.5mm당 2000원).xlsx,200평 이상 미만 우레탄_26,000원(0.5mm당 1500원).xlsx"
바탕정리,27000-27999,1,300.0,600.0,0.0,33.3,66.7,0.0,"100평~200평 미만 우레탄_27,000원(0.5mm당 2000원).xlsx"
바탕정리,28000-28999,1,300.0,700.0,0.0,30.0,70.0,0.0,"100평~200평 미만 우레탄_28,000원(0.5mm당 2000원).xlsx"
바탕정리,29000-29999,1,300.0,700.0,0.0,30.0,70.0,0.0,"200평 이상 복합_29,000원(0.5mm당 1500원).xlsx"
바탕정리,30000-30999,1,300.0,700.0,0.0,30.0,70.0,0.0,"200평 이상 복합_30,000원(0.5mm당 1500원).xlsx"
바탕정리,31000-31999,2,300.0,700.0,0.0,30.0,70.0,0.0,"200평 이상 복합_31,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_31,000원.xlsx"
바탕정리,32000-32999,3,300.0,700.0,0.0,30.0,70.0,0.0,"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx,200평 이상 복합_32,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_32,000원.xlsx"
바탕정리,33000-33999,2,400.0,850.0,0.0,32.0,68.0,0.0,"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_33,000원.xlsx"
바탕정리,34000-34999,2,500.0,1100.0,0.0,31.2,68.8,0.0,"100평~200평 미만 복합_34,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_34,000원.xlsx"
바탕정리,35000-35999,3,566.7,1233.3,0.0,31.5,68.5,0.0,"100평~200평 미만 복합_35,000원(0.5mm당 2000원).xlsx,50평 미만 우레탄_35,000원.xlsx,50평~100평 미만 우레탄_35,000원.xlsx"
바탕정리,36000-36999,3,700.0,1433.3,0.0,32.8,67.2,0.0,"50평 미만 우레탄_36,000원.xlsx,50평~100평 미만 복합_36,000원.xlsx,50평~100평 미만 우레탄_36,000원.xlsx"
바탕정리,37000-37999,3,833.3,1300.0,0.0,39.1,60.9,0.0,"50평 미만 우레탄_37,000원.xlsx,50평~100평 미만 복합_37,000원.xlsx,50평~100평 미만 우레탄_37,000원.xlsx"
바탕정리,38000-38999,2,300.0,700.0,0.0,30.0,70.0,0.0,"50평 미만 복합_38,000원.xlsx,50평~100평 미만 복합_38,000원.xlsx"
바탕정리,39000-39999,2,300.0,700.0,0.0,30.0,70.0,0.0,"50평 미만 복합_39,000원.xlsx,50평~100평 미만 복합_39,000원.xlsx"
바탕정리,40000-40999,2,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_40,000원.xlsx,50평~100평 미만 복합_40,000원.xlsx"
바탕정리,41000-41999,2,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_41,000원.xlsx,50평~100평 미만 복합_41,000원.xlsx"
바탕정리,42000-42999,2,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_42,000원.xlsx,50평~100평 미만 복합_42,000원.xlsx"
바탕정리,43000-43999,1,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_43,000원.xlsx"
바탕정리,44000-44999,1,300.0,1200.0,0.0,20.0,80.0,0.0,"50평 미만 복합_44,000원.xlsx"
바탕정리,48000-48999,1,300.0,1200.0,0.0,20.0,80.0,0.0,"20평 이하 소형평수_48,000원.xlsx"
바탕정리,50000-50999,1,300.0,1200.0,0.0,20.0,80.0,0.0,"20평 이하 소형평수_50,000원.xlsx"
바탕조정제부분미장,23000-23999,1,0.0,0.0,0.0,0,0,0,"200평 이상 미만 우레탄_23,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,24000-24999,1,0.0,0.0,0.0,0,0,0,"200평 이상 미만 우레탄_24,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,25000-25999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_25,000원(0.5mm당 1600원).xlsx,200평 이상 미만 우레탄_25,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,26000-26999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_26,000원(0.5mm당 2000원).xlsx,200평 이상 미만 우레탄_26,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,27000-27999,1,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_27,000원(0.5mm당 2000원).xlsx"
바탕조정제부분미장,28000-28999,1,0.0,0.0,0.0,0,0,0,"100평~200평 미만 우레탄_28,000원(0.5mm당 2000원).xlsx"
바탕조정제부분미장,29000-29999,1,0.0,0.0,0.0,0,0,0,"200평 이상 복합_29,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,30000-30999,1,0.0,0.0,0.0,0,0,0,"200평 이상 복합_30,000원(0.5mm당 1500원).xlsx"
바탕조정제부분미장,31000-31999,2,0.0,0.0,0.0,0,0,0,"200평 이상 복합_31,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_31,000원.xlsx"
바탕조정제부분미장,32000-32999,3,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx,200평 이상 복합_32,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_32,000원.xlsx"
바탕조정제부분미장,33000-33999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_33,000원.xlsx"
바탕조정제부분미장,34000-34999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_34,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_34,000원.xlsx"
바탕조정제부분미장,35000-35999,3,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_35,000원(0.5mm당 2000원).xlsx,50평 미만 우레탄_35,000원.xlsx,50평~100평 미만 우레탄_35,000원.xlsx"
바탕조정제부분미장,36000-36999,3,0.0,0.0,0.0,0,0,0,"50평 미만 우레탄_36,000원.xlsx,50평~100평 미만 복합_36,000원.xlsx,50평~100평 미만 우레탄_36,000원.xlsx"
바탕조정제부분미장,37000-37999,3,0.0,0.0,0.0,0,0,0,"50평 미만 우레탄_37,000원.xlsx,50평~100평 미만 복합_37,000원.xlsx,50평~100평 미만 우레탄_37,000원.xlsx"
바탕조정제부분미장,38000-38999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_38,000원.xlsx,50평~100평 미만 복합_38,000원.xlsx"
바탕조정제부분미장,39000-39999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_39,000원.xlsx,50평~100평 미만 복합_39,000원.xlsx"
바탕조정제부분미장,40000-40999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_40,000원.xlsx,50평~100평 미만 복합_40,000원.xlsx"
바탕조정제부분미장,41000-41999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_41,000원.xlsx,50평~100평 미만 복합_41,000원.xlsx"
바탕조정제부분미장,42000-42999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_42,000원.xlsx,50평~100평 미만 복합_42,000원.xlsx"
바탕조정제부분미장,43000-43999,1,0.0,0.0,0.0,0,0,0,"50평 미만 복합_43,000원.xlsx"
바탕조정제부분미장,44000-44999,1,0.0,0.0,0.0,0,0,0,"50평 미만 복합_44,000원.xlsx"
바탕조정제부분미장,48000-48999,1,0.0,0.0,0.0,0,0,0,"20평 이하 소형평수_48,000원.xlsx"
바탕조정제부분미장,50000-50999,1,0.0,0.0,0.0,0,0,0,"20평 이하 소형평수_50,000원.xlsx"
벽체우레탄,23000-23999,1,4000.0,4500.0,0.0,47.1,52.9,0.0,"200평 이상 미만 우레탄_23,000원(0.5mm당 1500원).xlsx"
벽체우레탄,24000-24999,1,4000.0,4500.0,0.0,47.1,52.9,0.0,"200평 이상 미만 우레탄_24,000원(0.5mm당 1500원).xlsx"
벽체우레탄,25000-25999,2,4250.0,4500.0,250.0,47.2,50.0,2.8,"100평~200평 미만 우레탄_25,000원(0.5mm당 1600원).xlsx,200평 이상 미만 우레탄_25,000원(0.5mm당 1500원).xlsx"
벽체우레탄,26000-26999,2,4250.0,4500.0,250.0,47.2,50.0,2.8,"100평~200평 미만 우레탄_26,000원(0.5mm당 2000원).xlsx,200평 이상 미만 우레탄_26,000원(0.5mm당 1500원).xlsx"
벽체우레탄,27000-27999,1,4500.0,4500.0,500.0,47.4,47.4,5.3,"100평~200평 미만 우레탄_27,000원(0.5mm당 2000원).xlsx"
벽체우레탄,28000-28999,1,4500.0,4500.0,500.0,47.4,47.4,5.3,"100평~200평 미만 우레탄_28,000원(0.5mm당 2000원).xlsx"
벽체우레탄,29000-29999,1,4000.0,4500.0,0.0,47.1,52.9,0.0,"200평 이상 복합_29,000원(0.5mm당 1500원).xlsx"
벽체우레탄,30000-30999,1,4000.0,4500.0,0.0,47.1,52.9,0.0,"200평 이상 복합_30,000원(0.5mm당 1500원).xlsx"
벽체우레탄,31000-31999,2,4500.0,4400.0,250.0,49.2,48.1,2.7,"200평 이상 복합_31,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_31,000원.xlsx"
벽체우레탄,32000-32999,3,4500.0,4433.3,333.3,48.6,47.8,3.6,"100평~200평 미만 복합_32,000원(0.5mm당 1600원).xlsx,200평 이상 복합_32,000원(0.5mm당 1500원).xlsx,50평~100평 미만 우레탄_32,000원.xlsx"
벽체우레탄,33000-33999,2,4750.0,4400.0,500.0,49.2,45.6,5.2,"100평~200평 미만 복합_33,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_33,000원.xlsx"
벽체우레탄,34000-34999,2,4750.0,4400.0,250.0,50.5,46.8,2.7,"100평~200평 미만 복합_34,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_34,000원.xlsx"
벽체우레탄,35000-35999,3,4833.3,4366.7,500.0,49.8,45.0,5.2,"100평~200평 미만 복합_35,000원(0.5mm당 2000원).xlsx,50평 미만 우레탄_35,000원.xlsx,50평~100평 미만 우레탄_35,000원.xlsx"
벽체우레탄,36000-36999,3,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 우레탄_36,000원.xlsx,50평~100평 미만 복합_36,000원.xlsx,50평~100평 미만 우레탄_36,000원.xlsx"
벽체우레탄,37000-37999,3,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 우레탄_37,000원.xlsx,50평~100평 미만 복합_37,000원.xlsx,50평~100평 미만 우레탄_37,000원.xlsx"
벽체우레탄,38000-38999,2,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 복합_38,000원.xlsx,50평~100평 미만 복합_38,000원.xlsx"
벽체우레탄,39000-39999,2,5000.0,4300.0,500.0,51.0,43.9,5.1,"50평 미만 복합_39,000원.xlsx,50평~100평 미만 복합_39,000원.xlsx"
